MINSK MAZOWIECKI MILITARY AIR BASE,MINSK MAZOWIECKI,POLAND
POWIDZ MILITARY AIR BASE,POWIDZ,POLAND
KING SALMAN ABDULAZIZ AIRPORT,AL DAWADMI,SAUDI ARABIA
KING KHALED AIR BASE,KHAMIS MUSHAYT,SAUDI ARABIA
ASAHIKAWA AIRFIELD,ASAHIKAWA CITY,JAPAN
UTSUNOMIYA AIRPORT,UTSUNOMIYA,JAPAN
JUNGWON AIR BASE/CHUNGJU AIRPORT,CHUNGJU,SOUTH KOREA
BISLIG AIRPORT,BISLIG,PHILIPPINES
MATI NATIONAL AIRPORT,MATI,PHILIPPINES
METROPOLITANO AIRPORT,CARACAS,VENEZUELA
BELAYA GORA AIRPORT,BELAYA GORA,RUSSIA
VOLGODONSK AIRPORT,VOLGODONSK,RUSSIA
RATNAGIRI AIRPORT,RATNAGIRI,INDIA
AMBALA AIR FORCE STATION,AMBALA,INDIA
SIRSA AIR FORCE STATION,SIRSA,INDIA
UDHAMPUR AIR FORCE STATION,UDHAMPUR,INDIA
ARARAT AIRPORT,ARARAT,AUSTRALIA
BENALLA AIRPORT,BENALLA,AUSTRALIA
BALRANALD AIRPORT,BALRANALD,AUSTRALIA
BREWARRINA AIRPORT,BREWARRINA,AUSTRALIA
CLEVE AIRPORT,CLEVE,AUSTRALIA
COROWA AIRPORT,COROWA,AUSTRALIA
CORRYONG AIRPORT,CORRYONG,AUSTRALIA
COOTAMUNDRA AIRPORT,COOTAMUNDRA,AUSTRALIA
DIRRANBANDI AIRPORT,DIRRANBANDI,AUSTRALIA
DYSART AIRPORT,DYSART,AUSTRALIA
ECHUCA AIRPORT,ECHUCA,AUSTRALIA
GUNNEDAH AIRPORT,GUNNEDAH,AUSTRALIA
HAY AIRPORT,HAY,AUSTRALIA
HOPETOUN AIRPORT,HOPETOUN,AUSTRALIA
KERANG AIRPORT,KERANG,AUSTRALIA
KEMPSEY AIRPORT,KEMPSEY,AUSTRALIA
KINGAROY AIRPORT,KINGAROY,AUSTRALIA
MAREEBA AIRPORT,MAREEBA,AUSTRALIA
NGUKURR AIRPORT,NGUKURR,AUSTRALIA
NARROMINE AIRPORT,NARROMINE,AUSTRALIA
PORT PIRIE AIRPORT,PORT RIRIE,AUSTRALIA
SMITHTON AIRPORT,SMITHTON,AUSTRALIA
SNAKE BAY AIRPORT,SNAKE,AUSTRALIA
STAWELL AIRPORT,STAWELL,AUSTRALIA
TIBOOBURRA AIRPORT,TIBOOBURRA,AUSTRALIA
TUMUT AIRPORT,TUMUT,AUSTRALIA
WANGARATTA AIRPORT,WANGARATTA,AUSTRALIA
WARRACKNABEAL AIRPORT,WARRACKNABEAL,AUSTRALIA
WARREN AIRPORT,WARREN,AUSTRALIA
YOUNG AIRPORT,YOUNG,AUSTRALIA
BARUUN URT AIRPORT,BARUUN,MONGOLIA
HARD BARGAIN AIRPORT,HARD,BAHAMAS
XINGCHENG AIR BASE,XINGCHENG,CHINA
